source,cohort,region_id,match_case_id,target,book_realm,window,start_year,end_year,records,status,message
OpenAlex,landmark,rnai_c2,rnai,0,Life,pre,1988,1997,35,OK,
OpenAlex,landmark,rnai_c2,rnai,0,Life,post,1999,2008,580,OK,
OpenAlex,landmark,graphene_c1,graphene,0,Nature,pre,1994,2003,577,OK,
OpenAlex,landmark,graphene_c1,graphene,0,Nature,post,2005,2014,600,OK,
OpenAlex,landmark,graphene_c2,graphene,0,Nature,pre,1994,2003,480,OK,
OpenAlex,landmark,graphene_c2,graphene,0,Nature,post,2005,2014,600,OK,
OpenAlex,landmark,transformer_c1,transformer,0,Machines,pre,2007,2016,598,OK,
OpenAlex,landmark,transformer_c1,transformer,0,Machines,post,2018,2026,600,OK,
OpenAlex,landmark,transformer_c2,transformer,0,Machines,pre,2007,2016,600,OK,
OpenAlex,landmark,transformer_c2,transformer,0,Machines,post,2018,2026,600,OK,
OpenAlex,landmark,resnet_c1,resnet,0,Machines,pre,2005,2014,593,OK,
OpenAlex,landmark,resnet_c1,resnet,0,Machines,post,2016,2025,600,OK,
OpenAlex,landmark,resnet_c2,resnet,0,Machines,pre,2005,2014,286,OK,
OpenAlex,landmark,resnet_c2,resnet,0,Machines,post,2016,2025,600,OK,
OpenAlex,landmark,diffusion_c1,diffusion,0,Machines,pre,2010,2019,600,OK,
OpenAlex,landmark,diffusion_c1,diffusion,0,Machines,post,2021,2026,600,OK,
OpenAlex,landmark,diffusion_c2,diffusion,0,Machines,pre,2010,2019,596,OK,
OpenAlex,landmark,diffusion_c2,diffusion,0,Machines,post,2021,2026,600,OK,
OpenAlex,landmark,rag_c1,rag,0,Machines,pre,2010,2019,600,OK,
OpenAlex,landmark,rag_c1,rag,0,Machines,post,2021,2026,600,OK,
OpenAlex,landmark,rag_c2,rag,0,Machines,pre,2010,2019,600,OK,
OpenAlex,landmark,rag_c2,rag,0,Machines,post,2021,2026,600,OK,
OpenAlex,landmark,qec_c1,qec,0,Nature,pre,1985,1994,600,OK,
OpenAlex,landmark,qec_c1,qec,0,Nature,post,1996,2005,600,OK,
OpenAlex,landmark,qec_c2,qec,0,Nature,pre,1985,1994,6,OK,
OpenAlex,landmark,qec_c2,qec,0,Nature,post,1996,2005,85,OK,
PubMed,landmark,crispr,crispr,1,Life,pre,2002,2011,0,OK,
PubMed,landmark,crispr,crispr,1,Life,post,2013,2022,599,OK,
PubMed,landmark,ips,ips,1,Life,pre,1996,2005,5,OK,
PubMed,landmark,ips,ips,1,Life,post,2007,2016,596,OK,
PubMed,landmark,mrna,mrna,1,Life,pre,2010,2019,600,OK,
PubMed,landmark,mrna,mrna,1,Life,post,2021,2026,599,OK,
PubMed,landmark,alphafold2,alphafold2,1,Life,pre,2011,2020,4,OK,
PubMed,landmark,alphafold2,alphafold2,1,Life,post,2022,2026,340,OK,
PubMed,landmark,singlecell,singlecell,1,Life,pre,1999,2008,298,OK,
PubMed,landmark,singlecell,singlecell,1,Life,post,2010,2019,600,OK,
PubMed,landmark,rnai,rnai,1,Life,pre,1988,1997,0,OK,
PubMed,landmark,rnai,rnai,1,Life,post,1999,2008,598,OK,
PubMed,landmark,crispr_c1,crispr,0,Life,pre,2002,2011,121,OK,
PubMed,landmark,crispr_c1,crispr,0,Life,post,2013,2022,532,OK,
PubMed,landmark,crispr_c2,crispr,0,Life,pre,2002,2011,26,OK,
PubMed,landmark,crispr_c2,crispr,0,Life,post,2013,2022,106,OK,
PubMed,landmark,ips_c1,ips,0,Life,pre,1996,2005,200,OK,
PubMed,landmark,ips_c1,ips,0,Life,post,2007,2016,593,OK,
PubMed,landmark,ips_c2,ips,0,Life,pre,1996,2005,148,OK,
PubMed,landmark,ips_c2,ips,0,Life,post,2007,2016,600,OK,
PubMed,landmark,mrna_c1,mrna,0,Life,pre,2010,2019,390,OK,
PubMed,landmark,mrna_c1,mrna,0,Life,post,2021,2026,600,OK,
PubMed,landmark,mrna_c2,mrna,0,Life,pre,2010,2019,507,OK,
PubMed,landmark,mrna_c2,mrna,0,Life,post,2021,2026,599,OK,
PubMed,landmark,alphafold2_c1,alphafold2,0,Life,pre,2011,2020,224,OK,
PubMed,landmark,alphafold2_c1,alphafold2,0,Life,post,2022,2026,85,OK,
PubMed,landmark,alphafold2_c2,alphafold2,0,Life,pre,2011,2020,600,OK,
PubMed,landmark,alphafold2_c2,alphafold2,0,Life,post,2022,2026,600,OK,
PubMed,landmark,singlecell_c1,singlecell,0,Life,pre,1999,2008,48,OK,
PubMed,landmark,singlecell_c1,singlecell,0,Life,post,2010,2019,340,OK,
PubMed,landmark,singlecell_c2,singlecell,0,Life,pre,1999,2008,600,OK,
PubMed,landmark,singlecell_c2,singlecell,0,Life,post,2010,2019,600,OK,
PubMed,landmark,rnai_c1,rnai,0,Life,pre,1988,1997,3,OK,
PubMed,landmark,rnai_c1,rnai,0,Life,post,1999,2008,451,OK,
PubMed,landmark,rnai_c2,rnai,0,Life,pre,1988,1997,2,OK,
PubMed,landmark,rnai_c2,rnai,0,Life,post,1999,2008,513,OK,
OpenAlex,power_validation,PV_0000_P,PV_0000,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0000_P,PV_0000,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0000_C1,PV_0000,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0000_C1,PV_0000,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0000_C2,PV_0000,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0000_C2,PV_0000,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0001_P,PV_0001,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0001_P,PV_0001,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0001_C1,PV_0001,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0001_C1,PV_0001,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0001_C2,PV_0001,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0001_C2,PV_0001,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0002_P,PV_0002,1,Cultures,pre,2009,2018,299,OK,
OpenAlex,power_validation,PV_0002_P,PV_0002,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0002_C1,PV_0002,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0002_C1,PV_0002,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0002_C2,PV_0002,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0002_C2,PV_0002,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0003_P,PV_0003,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0003_P,PV_0003,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0003_C1,PV_0003,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0003_C1,PV_0003,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0003_C2,PV_0003,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0003_C2,PV_0003,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0004_P,PV_0004,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0004_P,PV_0004,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0004_C1,PV_0004,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0004_C1,PV_0004,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0004_C2,PV_0004,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0004_C2,PV_0004,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0005_P,PV_0005,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0005_P,PV_0005,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0005_C1,PV_0005,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0005_C1,PV_0005,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0005_C2,PV_0005,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0005_C2,PV_0005,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0006_P,PV_0006,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0006_P,PV_0006,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0006_C1,PV_0006,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0006_C1,PV_0006,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0006_C2,PV_0006,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0006_C2,PV_0006,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0007_P,PV_0007,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0007_P,PV_0007,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0007_C1,PV_0007,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0007_C1,PV_0007,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0007_C2,PV_0007,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0007_C2,PV_0007,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0008_P,PV_0008,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0008_P,PV_0008,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0008_C1,PV_0008,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0008_C1,PV_0008,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0008_C2,PV_0008,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0008_C2,PV_0008,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0009_P,PV_0009,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0009_P,PV_0009,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0009_C1,PV_0009,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0009_C1,PV_0009,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0009_C2,PV_0009,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0009_C2,PV_0009,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0010_P,PV_0010,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0010_P,PV_0010,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0010_C1,PV_0010,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0010_C1,PV_0010,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0010_C2,PV_0010,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0010_C2,PV_0010,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0011_P,PV_0011,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0011_P,PV_0011,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0011_C1,PV_0011,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0011_C1,PV_0011,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0011_C2,PV_0011,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0011_C2,PV_0011,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0012_P,PV_0012,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0012_P,PV_0012,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0012_C1,PV_0012,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0012_C1,PV_0012,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0012_C2,PV_0012,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0012_C2,PV_0012,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0013_P,PV_0013,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0013_P,PV_0013,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0013_C1,PV_0013,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0013_C1,PV_0013,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0013_C2,PV_0013,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0013_C2,PV_0013,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0014_P,PV_0014,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0014_P,PV_0014,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0014_C1,PV_0014,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0014_C1,PV_0014,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0014_C2,PV_0014,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0014_C2,PV_0014,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0015_P,PV_0015,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0015_P,PV_0015,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0015_C1,PV_0015,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0015_C1,PV_0015,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0015_C2,PV_0015,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0015_C2,PV_0015,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0016_P,PV_0016,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0016_P,PV_0016,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0016_C1,PV_0016,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0016_C1,PV_0016,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0016_C2,PV_0016,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0016_C2,PV_0016,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0017_P,PV_0017,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0017_P,PV_0017,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0017_C1,PV_0017,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0017_C1,PV_0017,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0017_C2,PV_0017,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0017_C2,PV_0017,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0018_P,PV_0018,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0018_P,PV_0018,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0018_C1,PV_0018,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0018_C1,PV_0018,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0018_C2,PV_0018,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0018_C2,PV_0018,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0019_P,PV_0019,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0019_P,PV_0019,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0019_C1,PV_0019,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0019_C1,PV_0019,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0019_C2,PV_0019,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0019_C2,PV_0019,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0020_P,PV_0020,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0020_P,PV_0020,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0020_C1,PV_0020,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0020_C1,PV_0020,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0020_C2,PV_0020,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0020_C2,PV_0020,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0021_P,PV_0021,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0021_P,PV_0021,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0021_C1,PV_0021,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0021_C1,PV_0021,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0021_C2,PV_0021,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0021_C2,PV_0021,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0022_P,PV_0022,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0022_P,PV_0022,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0022_C1,PV_0022,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0022_C1,PV_0022,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0022_C2,PV_0022,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0022_C2,PV_0022,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0023_P,PV_0023,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0023_P,PV_0023,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0023_C1,PV_0023,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0023_C1,PV_0023,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0023_C2,PV_0023,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0023_C2,PV_0023,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0024_P,PV_0024,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0024_P,PV_0024,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0024_C1,PV_0024,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0024_C1,PV_0024,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0024_C2,PV_0024,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0024_C2,PV_0024,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0025_P,PV_0025,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0025_P,PV_0025,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0025_C1,PV_0025,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0025_C1,PV_0025,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0025_C2,PV_0025,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0025_C2,PV_0025,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0026_P,PV_0026,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0026_P,PV_0026,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0026_C1,PV_0026,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0026_C1,PV_0026,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0026_C2,PV_0026,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0026_C2,PV_0026,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0027_P,PV_0027,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0027_P,PV_0027,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0027_C1,PV_0027,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0027_C1,PV_0027,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0027_C2,PV_0027,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0027_C2,PV_0027,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0028_P,PV_0028,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0028_P,PV_0028,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0028_C1,PV_0028,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0028_C1,PV_0028,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0028_C2,PV_0028,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0028_C2,PV_0028,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0029_P,PV_0029,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0029_P,PV_0029,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0029_C1,PV_0029,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0029_C1,PV_0029,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0029_C2,PV_0029,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0029_C2,PV_0029,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0030_P,PV_0030,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0030_P,PV_0030,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0030_C1,PV_0030,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0030_C1,PV_0030,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0030_C2,PV_0030,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0030_C2,PV_0030,0,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0031_P,PV_0031,1,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0031_P,PV_0031,1,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0031_C1,PV_0031,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0031_C1,PV_0031,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0031_C2,PV_0031,0,Nature,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0031_C2,PV_0031,0,Nature,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0032_P,PV_0032,1,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0032_P,PV_0032,1,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0032_C1,PV_0032,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0032_C1,PV_0032,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0032_C2,PV_0032,0,Cultures,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0032_C2,PV_0032,0,Cultures,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0033_P,PV_0033,1,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0033_P,PV_0033,1,Life,post,2020,2026,300,OK,
OpenAlex,power_validation,PV_0033_C1,PV_0033,0,Life,pre,2009,2018,300,OK,
OpenAlex,power_validation,PV_0033_C1,PV_0033,0,Life,post,2020,2026,300,OK,
