source,region_id,offset,cutoff_year,max_publication_year,temporal_lock_pass
OpenAlex,PV_0012_C1,3,2016,2016.0,True
OpenAlex,PV_0012_C1,1,2018,2018.0,True
OpenAlex,PV_0012_C2,5,2014,2014.0,True
OpenAlex,PV_0012_C2,3,2016,2016.0,True
OpenAlex,PV_0012_C2,1,2018,2018.0,True
OpenAlex,PV_0013_P,5,2014,2014.0,True
OpenAlex,PV_0013_P,3,2016,2016.0,True
OpenAlex,PV_0013_P,1,2018,2018.0,True
OpenAlex,PV_0013_C1,5,2014,2014.0,True
OpenAlex,PV_0013_C1,3,2016,2016.0,True
OpenAlex,PV_0013_C1,1,2018,2018.0,True
OpenAlex,PV_0013_C2,5,2014,2014.0,True
OpenAlex,PV_0013_C2,3,2016,2016.0,True
OpenAlex,PV_0013_C2,1,2018,2018.0,True
OpenAlex,PV_0014_P,5,2014,2014.0,True
OpenAlex,PV_0014_P,3,2016,2016.0,True
OpenAlex,PV_0014_P,1,2018,2018.0,True
OpenAlex,PV_0014_C1,5,2014,2014.0,True
OpenAlex,PV_0014_C1,3,2016,2016.0,True
OpenAlex,PV_0014_C1,1,2018,2018.0,True
OpenAlex,PV_0014_C2,5,2014,2014.0,True
OpenAlex,PV_0014_C2,3,2016,2016.0,True
OpenAlex,PV_0014_C2,1,2018,2018.0,True
OpenAlex,PV_0015_P,5,2014,2014.0,True
OpenAlex,PV_0015_P,3,2016,2016.0,True
OpenAlex,PV_0015_P,1,2018,2018.0,True
OpenAlex,PV_0015_C1,5,2014,2014.0,True
OpenAlex,PV_0015_C1,3,2016,2016.0,True
OpenAlex,PV_0015_C1,1,2018,2018.0,True
OpenAlex,PV_0015_C2,5,2014,2014.0,True
OpenAlex,PV_0015_C2,3,2016,2016.0,True
OpenAlex,PV_0015_C2,1,2018,2018.0,True
OpenAlex,PV_0016_P,5,2014,2014.0,True
OpenAlex,PV_0016_P,3,2016,2016.0,True
OpenAlex,PV_0016_P,1,2018,2018.0,True
OpenAlex,PV_0016_C1,5,2014,2014.0,True
OpenAlex,PV_0016_C1,3,2016,2016.0,True
OpenAlex,PV_0016_C1,1,2018,2018.0,True
OpenAlex,PV_0016_C2,5,2014,2014.0,True
OpenAlex,PV_0016_C2,3,2016,2016.0,True
OpenAlex,PV_0016_C2,1,2018,2018.0,True
OpenAlex,PV_0017_P,5,2014,2014.0,True
OpenAlex,PV_0017_P,3,2016,2016.0,True
OpenAlex,PV_0017_P,1,2018,2018.0,True
OpenAlex,PV_0017_C1,5,2014,2014.0,True
OpenAlex,PV_0017_C1,3,2016,2016.0,True
OpenAlex,PV_0017_C1,1,2018,2018.0,True
OpenAlex,PV_0017_C2,5,2014,2014.0,True
OpenAlex,PV_0017_C2,3,2016,2016.0,True
OpenAlex,PV_0017_C2,1,2018,2018.0,True
OpenAlex,PV_0018_P,5,2014,2014.0,True
OpenAlex,PV_0018_P,3,2016,2016.0,True
OpenAlex,PV_0018_P,1,2018,2018.0,True
OpenAlex,PV_0018_C1,5,2014,2014.0,True
OpenAlex,PV_0018_C1,3,2016,2016.0,True
OpenAlex,PV_0018_C1,1,2018,2018.0,True
OpenAlex,PV_0018_C2,5,2014,2014.0,True
OpenAlex,PV_0018_C2,3,2016,2016.0,True
OpenAlex,PV_0018_C2,1,2018,2018.0,True
OpenAlex,PV_0019_P,5,2014,2014.0,True
OpenAlex,PV_0019_P,3,2016,2016.0,True
OpenAlex,PV_0019_P,1,2018,2018.0,True
OpenAlex,PV_0019_C1,5,2014,2014.0,True
OpenAlex,PV_0019_C1,3,2016,2016.0,True
OpenAlex,PV_0019_C1,1,2018,2018.0,True
OpenAlex,PV_0019_C2,5,2014,2014.0,True
OpenAlex,PV_0019_C2,3,2016,2016.0,True
OpenAlex,PV_0019_C2,1,2018,2018.0,True
OpenAlex,PV_0020_P,5,2014,2014.0,True
OpenAlex,PV_0020_P,3,2016,2016.0,True
OpenAlex,PV_0020_P,1,2018,2018.0,True
OpenAlex,PV_0020_C1,5,2014,2014.0,True
OpenAlex,PV_0020_C1,3,2016,2016.0,True
OpenAlex,PV_0020_C1,1,2018,2018.0,True
OpenAlex,PV_0020_C2,5,2014,2014.0,True
OpenAlex,PV_0020_C2,3,2016,2016.0,True
OpenAlex,PV_0020_C2,1,2018,2018.0,True
OpenAlex,PV_0021_P,5,2014,2014.0,True
OpenAlex,PV_0021_P,3,2016,2016.0,True
OpenAlex,PV_0021_P,1,2018,2018.0,True
OpenAlex,PV_0021_C1,5,2014,2014.0,True
OpenAlex,PV_0021_C1,3,2016,2016.0,True
OpenAlex,PV_0021_C1,1,2018,2018.0,True
OpenAlex,PV_0021_C2,5,2014,2014.0,True
OpenAlex,PV_0021_C2,3,2016,2016.0,True
OpenAlex,PV_0021_C2,1,2018,2018.0,True
OpenAlex,PV_0022_P,5,2014,2014.0,True
OpenAlex,PV_0022_P,3,2016,2016.0,True
OpenAlex,PV_0022_P,1,2018,2018.0,True
OpenAlex,PV_0022_C1,5,2014,2014.0,True
OpenAlex,PV_0022_C1,3,2016,2016.0,True
OpenAlex,PV_0022_C1,1,2018,2018.0,True
OpenAlex,PV_0022_C2,5,2014,2014.0,True
OpenAlex,PV_0022_C2,3,2016,2016.0,True
OpenAlex,PV_0022_C2,1,2018,2018.0,True
OpenAlex,PV_0023_P,5,2014,2014.0,True
OpenAlex,PV_0023_P,3,2016,2016.0,True
OpenAlex,PV_0023_P,1,2018,2018.0,True
OpenAlex,PV_0023_C1,5,2014,2014.0,True
OpenAlex,PV_0023_C1,3,2016,2016.0,True
OpenAlex,PV_0023_C1,1,2018,2018.0,True
OpenAlex,PV_0023_C2,5,2014,2014.0,True
OpenAlex,PV_0023_C2,3,2016,2016.0,True
OpenAlex,PV_0023_C2,1,2018,2018.0,True
OpenAlex,PV_0024_P,5,2014,2014.0,True
OpenAlex,PV_0024_P,3,2016,2016.0,True
OpenAlex,PV_0024_P,1,2018,2018.0,True
OpenAlex,PV_0024_C1,5,2014,2014.0,True
OpenAlex,PV_0024_C1,3,2016,2016.0,True
OpenAlex,PV_0024_C1,1,2018,2018.0,True
OpenAlex,PV_0024_C2,5,2014,2014.0,True
OpenAlex,PV_0024_C2,3,2016,2016.0,True
OpenAlex,PV_0024_C2,1,2018,2018.0,True
OpenAlex,PV_0025_P,5,2014,2014.0,True
OpenAlex,PV_0025_P,3,2016,2016.0,True
OpenAlex,PV_0025_P,1,2018,2018.0,True
OpenAlex,PV_0025_C1,5,2014,2014.0,True
OpenAlex,PV_0025_C1,3,2016,2016.0,True
OpenAlex,PV_0025_C1,1,2018,2018.0,True
OpenAlex,PV_0025_C2,5,2014,2014.0,True
OpenAlex,PV_0025_C2,3,2016,2016.0,True
OpenAlex,PV_0025_C2,1,2018,2018.0,True
OpenAlex,PV_0026_P,5,2014,2014.0,True
OpenAlex,PV_0026_P,3,2016,2016.0,True
OpenAlex,PV_0026_P,1,2018,2018.0,True
OpenAlex,PV_0026_C1,5,2014,2014.0,True
OpenAlex,PV_0026_C1,3,2016,2016.0,True
OpenAlex,PV_0026_C1,1,2018,2018.0,True
OpenAlex,PV_0026_C2,5,2014,2014.0,True
OpenAlex,PV_0026_C2,3,2016,2016.0,True
OpenAlex,PV_0026_C2,1,2018,2018.0,True
OpenAlex,PV_0027_P,5,2014,2014.0,True
OpenAlex,PV_0027_P,3,2016,2016.0,True
OpenAlex,PV_0027_P,1,2018,2018.0,True
OpenAlex,PV_0027_C1,5,2014,2014.0,True
OpenAlex,PV_0027_C1,3,2016,2016.0,True
OpenAlex,PV_0027_C1,1,2018,2018.0,True
OpenAlex,PV_0027_C2,5,2014,2014.0,True
OpenAlex,PV_0027_C2,3,2016,2016.0,True
OpenAlex,PV_0027_C2,1,2018,2018.0,True
OpenAlex,PV_0028_P,5,2014,2014.0,True
OpenAlex,PV_0028_P,3,2016,2016.0,True
OpenAlex,PV_0028_P,1,2018,2018.0,True
OpenAlex,PV_0028_C1,5,2014,2014.0,True
OpenAlex,PV_0028_C1,3,2016,2016.0,True
OpenAlex,PV_0028_C1,1,2018,2018.0,True
OpenAlex,PV_0028_C2,5,2014,2014.0,True
OpenAlex,PV_0028_C2,3,2016,2016.0,True
OpenAlex,PV_0028_C2,1,2018,2018.0,True
OpenAlex,PV_0029_P,5,2014,2014.0,True
OpenAlex,PV_0029_P,3,2016,2016.0,True
OpenAlex,PV_0029_P,1,2018,2018.0,True
OpenAlex,PV_0029_C1,5,2014,2014.0,True
OpenAlex,PV_0029_C1,3,2016,2016.0,True
OpenAlex,PV_0029_C1,1,2018,2018.0,True
OpenAlex,PV_0029_C2,5,2014,2014.0,True
OpenAlex,PV_0029_C2,3,2016,2016.0,True
OpenAlex,PV_0029_C2,1,2018,2018.0,True
OpenAlex,PV_0030_P,5,2014,2014.0,True
OpenAlex,PV_0030_P,3,2016,2016.0,True
OpenAlex,PV_0030_P,1,2018,2018.0,True
OpenAlex,PV_0030_C1,5,2014,2014.0,True
OpenAlex,PV_0030_C1,3,2016,2016.0,True
OpenAlex,PV_0030_C1,1,2018,2018.0,True
OpenAlex,PV_0030_C2,5,2014,2014.0,True
OpenAlex,PV_0030_C2,3,2016,2016.0,True
OpenAlex,PV_0030_C2,1,2018,2018.0,True
OpenAlex,PV_0031_P,5,2014,2014.0,True
OpenAlex,PV_0031_P,3,2016,2016.0,True
OpenAlex,PV_0031_P,1,2018,2018.0,True
OpenAlex,PV_0031_C1,5,2014,2014.0,True
OpenAlex,PV_0031_C1,3,2016,2016.0,True
OpenAlex,PV_0031_C1,1,2018,2018.0,True
OpenAlex,PV_0031_C2,5,2014,2014.0,True
OpenAlex,PV_0031_C2,3,2016,2016.0,True
OpenAlex,PV_0031_C2,1,2018,2018.0,True
OpenAlex,PV_0032_P,5,2014,2014.0,True
OpenAlex,PV_0032_P,3,2016,2016.0,True
OpenAlex,PV_0032_P,1,2018,2018.0,True
OpenAlex,PV_0032_C1,5,2014,2014.0,True
OpenAlex,PV_0032_C1,3,2016,2016.0,True
OpenAlex,PV_0032_C1,1,2018,2018.0,True
OpenAlex,PV_0032_C2,5,2014,2014.0,True
OpenAlex,PV_0032_C2,3,2016,2016.0,True
OpenAlex,PV_0032_C2,1,2018,2018.0,True
OpenAlex,PV_0033_P,5,2014,2014.0,True
OpenAlex,PV_0033_P,3,2016,2016.0,True
OpenAlex,PV_0033_P,1,2018,2018.0,True
OpenAlex,PV_0033_C1,5,2014,2014.0,True
OpenAlex,PV_0033_C1,3,2016,2016.0,True
OpenAlex,PV_0033_C1,1,2018,2018.0,True
OpenAlex,PV_0033_C2,5,2014,2014.0,True
OpenAlex,PV_0033_C2,3,2016,2016.0,True
OpenAlex,PV_0033_C2,1,2018,2018.0,True
OpenAlex,PV_0034_P,5,2014,2014.0,True
OpenAlex,PV_0034_P,3,2016,2016.0,True
OpenAlex,PV_0034_P,1,2018,2018.0,True
OpenAlex,PV_0034_C1,5,2014,2014.0,True
OpenAlex,PV_0034_C1,3,2016,2016.0,True
OpenAlex,PV_0034_C1,1,2018,2018.0,True
OpenAlex,PV_0034_C2,5,2014,2014.0,True
OpenAlex,PV_0034_C2,3,2016,2016.0,True
OpenAlex,PV_0034_C2,1,2018,2018.0,True
OpenAlex,PV_0035_P,5,2014,2014.0,True
OpenAlex,PV_0035_P,3,2016,2016.0,True
OpenAlex,PV_0035_P,1,2018,2018.0,True
OpenAlex,PV_0035_C1,5,2014,2014.0,True
OpenAlex,PV_0035_C1,3,2016,2016.0,True
OpenAlex,PV_0035_C1,1,2018,2018.0,True
OpenAlex,PV_0035_C2,5,2014,2014.0,True
OpenAlex,PV_0035_C2,3,2016,2016.0,True
OpenAlex,PV_0035_C2,1,2018,2018.0,True
OpenAlex,PV_0036_P,5,2014,2014.0,True
OpenAlex,PV_0036_P,3,2016,2016.0,True
OpenAlex,PV_0036_P,1,2018,2018.0,True
OpenAlex,PV_0036_C1,5,2014,2014.0,True
OpenAlex,PV_0036_C1,3,2016,2016.0,True
OpenAlex,PV_0036_C1,1,2018,2018.0,True
OpenAlex,PV_0036_C2,5,2014,2014.0,True
OpenAlex,PV_0036_C2,3,2016,2016.0,True
OpenAlex,PV_0036_C2,1,2018,2018.0,True
OpenAlex,PV_0037_P,5,2014,2014.0,True
OpenAlex,PV_0037_P,3,2016,2016.0,True
OpenAlex,PV_0037_P,1,2018,2018.0,True
OpenAlex,PV_0037_C1,5,2014,2014.0,True
OpenAlex,PV_0037_C1,3,2016,2016.0,True
OpenAlex,PV_0037_C1,1,2018,2018.0,True
OpenAlex,PV_0037_C2,5,2014,2014.0,True
OpenAlex,PV_0037_C2,3,2016,2016.0,True
OpenAlex,PV_0037_C2,1,2018,2018.0,True
OpenAlex,PV_0038_P,5,2014,2014.0,True
OpenAlex,PV_0038_P,3,2016,2016.0,True
OpenAlex,PV_0038_P,1,2018,2018.0,True
OpenAlex,PV_0038_C1,5,2014,2014.0,True
OpenAlex,PV_0038_C1,3,2016,2016.0,True
OpenAlex,PV_0038_C1,1,2018,2018.0,True
OpenAlex,PV_0038_C2,5,2014,2014.0,True
OpenAlex,PV_0038_C2,3,2016,2016.0,True
OpenAlex,PV_0038_C2,1,2018,2018.0,True
OpenAlex,PV_0039_P,5,2014,2014.0,True
OpenAlex,PV_0039_P,3,2016,2016.0,True
OpenAlex,PV_0039_P,1,2018,2018.0,True
OpenAlex,PV_0039_C1,5,2014,2014.0,True
OpenAlex,PV_0039_C1,3,2016,2016.0,True
OpenAlex,PV_0039_C1,1,2018,2018.0,True
OpenAlex,PV_0039_C2,5,2014,2014.0,True
OpenAlex,PV_0039_C2,3,2016,2016.0,True
OpenAlex,PV_0039_C2,1,2018,2018.0,True
OpenAlex,PV_0040_P,5,2014,2014.0,True
OpenAlex,PV_0040_P,3,2016,2016.0,True
OpenAlex,PV_0040_P,1,2018,2018.0,True
OpenAlex,PV_0040_C1,5,2014,2014.0,True
OpenAlex,PV_0040_C1,3,2016,2016.0,True
