source,cohort,region_id,match_case_id,label,target,domain,book_realm,landmark_year,post_docs,post_growth,topic_diffusion,normalization_index,post_adoption,transformation
PubMed,landmark,rnai_c2,rnai,Ribozyme gene silencing,0,Life Sciences,Life,1998,513,0.9941972920696325,0.42238002836361693,0.8500371920495687,0.0,0.5666536281207045
OpenAlex,power_validation,PV_0000_P,PV_0000,Subterranean biodiversity and taxonomy,1,Physical Sciences,Nature,2019,300,0.5,0.45508806283644504,0.34675509928171655,0.003133323079250146,0.32624412129935293
OpenAlex,power_validation,PV_0000_C1,PV_0000,"Education, Technology, and Ethics",0,Physical Sciences,Nature,2019,300,0.5,0.5028980376889853,0.598687660112452,0.006266584634967603,0.40196307060910125
OpenAlex,power_validation,PV_0000_C2,PV_0000,Sustainability and Ecological Systems Analysis,0,Physical Sciences,Nature,2019,300,0.5,0.5060861252515283,0.549833997312478,0.09392235315762444,0.4124606189304077
OpenAlex,power_validation,PV_0001_P,PV_0001,Engineering and Agricultural Innovations,1,Life Sciences,Life,2019,300,0.5,0.401336826589564,0.401312339887548,0.006933222237790516,0.32739559717872563
OpenAlex,power_validation,PV_0001_C1,PV_0001,Humic Substances and Bio-Organic Studies,0,Life Sciences,Life,2019,300,0.5,0.49688793526067554,0.743962491324758,0.029258313526690432,0.442527185028031
OpenAlex,power_validation,PV_0001_C2,PV_0001,Sesame and Sesamin Research,0,Life Sciences,Life,2019,300,0.5,0.5068932921496466,0.5580701058739533,0.10039399004519695,0.4163393470171992
OpenAlex,power_validation,PV_0002_P,PV_0002,"COVID-19, Geopolitics, Technology, Migration",1,Social Sciences,Cultures,2019,300,0.5008319467554077,0.5018665142925811,0.6750229654361476,0.01566538502706295,0.42334670287779985
OpenAlex,power_validation,PV_0002_C1,PV_0002,21st Century Education and Governance,0,Social Sciences,Cultures,2019,300,0.5,0.4955109696966877,0.6607563687658171,0.0095330445332644,0.4164500957489423
OpenAlex,power_validation,PV_0002_C2,PV_0002,Social Movements and Cultural Identity,0,Social Sciences,Cultures,2019,300,0.5,0.4964952754672989,0.48333950343058857,0.0033333209877091903,0.3707920249713991
OpenAlex,power_validation,PV_0003_P,PV_0003,"Legal, Health, Environmental and COVID-19 Challenges",1,Health Sciences,Life,2019,300,0.5,0.51227693782756,0.8125502070042587,0.012999267716169015,0.45945660313699693
OpenAlex,power_validation,PV_0003_C1,PV_0003,Athletic Training and Education,0,Health Sciences,Life,2019,300,0.5,0.5098931045658643,0.598687660112452,0.030390638639209513,0.40974285082938144
OpenAlex,power_validation,PV_0003_C2,PV_0003,Trade Secret Protection Methods,0,Health Sciences,Life,2019,300,0.5,0.5194288794475261,0.5,0.003133323079250146,0.38064055063169405
OpenAlex,power_validation,PV_0004_P,PV_0004,AI and Big Data Applications,1,Physical Sciences,Nature,2019,300,0.5,0.49239129312791763,0.6066693561082115,0.055609238305498306,0.4136674718854068
OpenAlex,power_validation,PV_0004_C1,PV_0004,"Energy, Economy, and Technology Trends",0,Physical Sciences,Nature,2019,300,0.5,0.5158866726866937,0.5415704832167999,0.010266305964442408,0.39193086546698397
OpenAlex,power_validation,PV_0004_C2,PV_0004,Statistical Methods in Epidemiology,0,Physical Sciences,Nature,2019,300,0.5,0.5123373565219913,0.45842951678320015,0.07651680911202628,0.38682092060430445
OpenAlex,power_validation,PV_0005_P,PV_0005,Technology-Enhanced Education Studies,1,Social Sciences,Cultures,2019,300,0.5,0.5119613925434155,0.6681877721681662,0.07174319566327797,0.4379730900937149
OpenAlex,power_validation,PV_0005_C1,PV_0005,Diverse Perspectives in Modern Studies,0,Social Sciences,Cultures,2019,300,0.5,0.49902850332874676,0.549833997312478,0.0009333330623210821,0.38744895842588645
OpenAlex,power_validation,PV_0005_C2,PV_0005,Organizational Leadership and Management Strategies,0,Social Sciences,Cultures,2019,300,0.5,0.5031448896820853,0.45842951678320015,0.07068193841044931,0.3830640862189337
OpenAlex,power_validation,PV_0006_P,PV_0006,Artificial Intelligence in Healthcare,1,Health Sciences,Life,2019,300,0.5,0.488721989385881,0.6456563062257954,0.08188292368527177,0.42906530482423705
OpenAlex,power_validation,PV_0006_C1,PV_0006,Global Health and Surgery,0,Health Sciences,Life,2019,300,0.5,0.5153338214096181,0.549833997312478,0.07373261338410417,0.40972510802655004
OpenAlex,power_validation,PV_0006_C2,PV_0006,Thyroid and Parathyroid Surgery,0,Health Sciences,Life,2019,300,0.5,0.5000488213358536,0.6379936706609838,0.08889803368091168,0.4317351314194373
OpenAlex,power_validation,PV_0007_P,PV_0007,Domain Adaptation and Few-Shot Learning,1,Physical Sciences,Nature,2019,300,0.5,0.4874032274090505,0.5498339973124778,0.13104208942596224,0.41706982853687263
OpenAlex,power_validation,PV_0007_C1,PV_0007,Library Science and Information,0,Physical Sciences,Nature,2019,300,0.5,0.5113470377546905,0.6607563687658171,0.010199646278720458,0.420575763199807
OpenAlex,power_validation,PV_0007_C2,PV_0007,Thermal Expansion and Ionic Conductivity,0,Physical Sciences,Nature,2019,300,0.5,0.47068993893306194,0.5662743941954391,0.20856122294237117,0.43638138901771806
OpenAlex,power_validation,PV_0008_P,PV_0008,Online Learning Methods and Innovations,1,Social Sciences,Cultures,2019,300,0.5,0.5064154319771457,0.49166743818588066,0.031056675985725837,0.382284886537188
OpenAlex,power_validation,PV_0008_C1,PV_0008,Educational Leadership and Administration,0,Social Sciences,Cultures,2019,300,0.5,0.5083003877880163,0.5,0.007466527911439981,0.3789417289248641
OpenAlex,power_validation,PV_0008_C2,PV_0008,"Architecture, Art, Education",0,Social Sciences,Cultures,2019,300,0.5,0.5094478128422428,0.5825702064623146,0.009333062330430597,0.400337770408747
OpenAlex,power_validation,PV_0009_P,PV_0009,Brain Tumor Detection and Classification,1,Life Sciences,Life,2019,300,0.5,0.5006538501458473,0.5166604965694115,0.14497139077761892,0.4155714343732194
OpenAlex,power_validation,PV_0009_C1,PV_0009,Cocoa and Sweet Potato Agronomy,0,Life Sciences,Life,2019,300,0.5,0.5109376700379425,0.52497918747894,0.052352093340720975,0.3970672377144009
OpenAlex,power_validation,PV_0009_C2,PV_0009,Kruppel-like factors research,0,Life Sciences,Life,2019,300,0.5,0.5121322775635564,0.6681877721681662,0.21085567537497485,0.47279393127667435
OpenAlex,power_validation,PV_0010_P,PV_0010,Multimodal Machine Learning Applications,1,Physical Sciences,Nature,2019,300,0.5,0.5256796624940989,0.5580701058739532,0.12763341762655608,0.42784579649865206
OpenAlex,power_validation,PV_0010_C1,PV_0010,Authorship Attribution and Profiling,0,Physical Sciences,Nature,2019,300,0.5,0.4997151535445901,0.7040516276171624,0.026660347476464803,0.43260678215955434
OpenAlex,power_validation,PV_0010_C2,PV_0010,Fusion and Plasma Physics Studies,0,Physical Sciences,Nature,2019,300,0.5,0.519110965614197,0.6066693561082115,0.004999958333749996,0.4076950700140396
OpenAlex,power_validation,PV_0011_P,PV_0011,Legal and Policy Analysis in Indonesia,1,Social Sciences,Cultures,2019,300,0.5,0.5264460086404302,0.598687660112452,0.021396733816977837,0.411632600642465
OpenAlex,power_validation,PV_0011_C1,PV_0011,Multidisciplinary Research Papers Compilation,0,Social Sciences,Cultures,2019,300,0.5,0.5136089863377429,0.5166604965694115,0.006199920558554824,0.3841173508664273
OpenAlex,power_validation,PV_0011_C2,PV_0011,Arts and Performance Studies,0,Social Sciences,Cultures,2019,300,0.5,0.5211410798466944,0.5083325618141193,0.003133323079250146,0.38315174118501594
OpenAlex,power_validation,PV_0012_P,PV_0012,"Health, Technology, Consumer Behavior",1,Health Sciences,Life,2019,300,0.5,0.525075646921,0.6066693561082114,0.020663724848271323,0.4131021819693707
OpenAlex,power_validation,PV_0012_C1,PV_0012,Spinal Hematomas and Complications,0,Health Sciences,Life,2019,300,0.5,0.4961459722292332,0.7109495026250039,0.06603708773229253,0.4432831406466324
OpenAlex,power_validation,PV_0012_C2,PV_0012,Oral and Craniofacial Lesions,0,Health Sciences,Life,2019,300,0.5,0.5086210641298007,0.6899744811276125,0.044038164876195725,0.4356584275334023
OpenAlex,power_validation,PV_0013_P,PV_0013,Blockchain Technology Applications and Security,1,Physical Sciences,Nature,2019,300,0.5,0.5134341333809659,0.47502081252106,0.21295688501582974,0.4253529577294639
OpenAlex,power_validation,PV_0013_C1,PV_0013,Cybercrime and Law Enforcement Studies,0,Physical Sciences,Nature,2019,300,0.5,0.5100246668857724,0.6827993860934125,0.0728706034812883,0.4414236641151183
OpenAlex,power_validation,PV_0013_C2,PV_0013,Membrane Separation and Gas Transport,0,Physical Sciences,Nature,2019,300,0.5,0.4999049085366557,0.549833997312478,0.22615486995623907,0.44397344395134314
OpenAlex,power_validation,PV_0014_P,PV_0014,Contemporary Christian Leadership and Education,1,Social Sciences,Cultures,2019,300,0.5,0.5126633841647348,0.5415704832167999,0.021596641394794946,0.3939576271940824
OpenAlex,power_validation,PV_0014_C1,PV_0014,Migration and Exile Studies,0,Social Sciences,Cultures,2019,300,0.5,0.5026883913768214,0.4667159617488687,0.014465657535046039,0.3709675026651841
OpenAlex,power_validation,PV_0014_C2,PV_0014,Education Methods and Integration,0,Social Sciences,Cultures,2019,300,0.5,0.5103446403241008,0.4667159617488687,0.005666606013124739,0.37068180202152357
OpenAlex,power_validation,PV_0015_P,PV_0015,Gut microbiota and health,1,Life Sciences,Life,2019,300,0.5,0.5147533293834796,0.5744425168116589,0.31564251055984516,0.4762095891887459
OpenAlex,power_validation,PV_0015_C1,PV_0015,Ubiquitin and proteasome pathways,0,Life Sciences,Life,2019,300,0.5,0.4935913115457396,0.40934671729911415,0.19192337055559122,0.3987153498501112
OpenAlex,power_validation,PV_0015_C2,PV_0015,"Nutrition, Genetics, and Disease",0,Life Sciences,Life,2019,300,0.5,0.5065661155849215,0.6532449007182834,0.07923356430096233,0.4347611451510418
OpenAlex,power_validation,PV_0016_P,PV_0016,Digital Transformation in Industry,1,Physical Sciences,Nature,2019,300,0.5,0.5277869459087761,0.5166604965694114,0.20351815180854313,0.4369913985716826
OpenAlex,power_validation,PV_0016_C1,PV_0016,Graph Theory and Algorithms,0,Physical Sciences,Nature,2019,300,0.5,0.5019286542056476,0.5083325618141193,0.053016909544764936,0.39081953139113296
OpenAlex,power_validation,PV_0016_C2,PV_0016,Heavy Metal Pollution Remediation,0,Physical Sciences,Nature,2019,300,0.5,0.5075650025981121,0.6456563062257955,0.013865777953588785,0.41677177169437407
OpenAlex,power_validation,PV_0017_P,PV_0017,Pancasila Values in Education,1,Social Sciences,Cultures,2019,300,0.5,0.49358562496794095,0.5906532827008859,0.027060058882917844,0.40282474163793613
OpenAlex,power_validation,PV_0017_C1,PV_0017,Educational Methods and Analysis,0,Social Sciences,Cultures,2019,300,0.5,0.49310681965545894,0.5415704832167999,0.017598182966470723,0.38806887145968233
OpenAlex,power_validation,PV_0017_C2,PV_0017,Contemporary Literature and Criticism,0,Social Sciences,Cultures,2019,300,0.5,0.5118249453819048,0.47502081252106,0.013599161576696522,0.37511122986991535
OpenAlex,power_validation,PV_0018_P,PV_0018,Adolescent Health and Behaviors,1,Health Sciences,Life,2019,300,0.5,0.505477853585643,0.598687660112452,0.019864053391134805,0.40600739177230744
OpenAlex,power_validation,PV_0018_C1,PV_0018,Drug-Induced Ocular Toxicity,0,Health Sciences,Life,2019,300,0.5,0.5053991132653457,0.6456563062257954,0.06112370732182118,0.42804478170324056
OpenAlex,power_validation,PV_0018_C2,PV_0018,Doctoral Education Challenges and Solutions,0,Health Sciences,Life,2019,300,0.5,0.5089166590263778,0.47502081252106004,0.05055685944293739,0.3836235827475938
OpenAlex,power_validation,PV_0019_P,PV_0019,IoT Networks and Protocols,1,Physical Sciences,Nature,2019,300,0.5,0.49632268715602545,0.5332840382511312,0.20734933396268615,0.43423901484246075
OpenAlex,power_validation,PV_0019_C1,PV_0019,Intravenous Infusion Technology and Safety,0,Physical Sciences,Nature,2019,300,0.5,0.5096246308350512,0.46671596174886876,0.03971243702436097,0.3790132574020702
OpenAlex,power_validation,PV_0019_C2,PV_0019,"Oil, Gas, and Environmental Issues",0,Physical Sciences,Nature,2019,300,0.5,0.5176540426685672,0.6066693561082115,0.07048293478719381,0.4237015833909931
OpenAlex,power_validation,PV_0020_P,PV_0020,Indonesian Legal and Regulatory Studies,1,Social Sciences,Cultures,2019,300,0.5,0.5122320072047661,0.6379936706609838,0.021530005726614527,0.41793892089809115
OpenAlex,power_validation,PV_0020_C1,PV_0020,Soviet and Russian History,0,Social Sciences,Cultures,2019,300,0.5,0.5094471206697027,0.5166604965694115,0.006933222237790516,0.38326020986922615
OpenAlex,power_validation,PV_0020_C2,PV_0020,Post-Soviet Geopolitical Dynamics,0,Social Sciences,Cultures,2019,300,0.5,0.4961657798429003,0.5580701058739533,0.011599479729336363,0.39145884136154746
OpenAlex,power_validation,PV_0021_P,PV_0021,Energy and Environmental Sustainability,1,Physical Sciences,Nature,2019,300,0.5,0.5092960886180036,0.6302602229177513,0.032122278129657005,0.41791964741635296
OpenAlex,power_validation,PV_0021_C1,PV_0021,Cold Fusion and Nuclear Reactions,0,Physical Sciences,Nature,2019,300,0.5,0.5071003278838475,0.8772526294600782,0.008066491702233064,0.4731048622615397
OpenAlex,power_validation,PV_0021_C2,PV_0021,Industrial and Mining Safety,0,Physical Sciences,Nature,2019,300,0.5,0.5147245960585372,0.743962491324758,0.020996913544449616,0.4449210002319362
OpenAlex,power_validation,PV_0022_P,PV_0022,Psychodrama and Leishmaniasis Studies,1,Social Sciences,Cultures,2019,300,0.5,0.5003459178299474,0.5580701058739533,0.006066592240996913,0.3911206539862244
OpenAlex,power_validation,PV_0022_C1,PV_0022,Sephardic Jews and Inquisition Studies,0,Social Sciences,Cultures,2019,300,0.5,0.5050256868266085,0.549833997312478,0.0019333309245468113,0.38919825376590833
OpenAlex,power_validation,PV_0022_C2,PV_0022,Cultural and Communication Design Research,0,Social Sciences,Cultures,2019,300,0.5,0.5071204112978207,0.5662743941954392,0.009199740446120786,0.3956486364848452
OpenAlex,power_validation,PV_0023_P,PV_0023,Shallot Cultivation and Analysis,1,Life Sciences,Life,2019,300,0.5,0.5066754675602856,0.5906532827008859,0.017531536868115694,0.4037150717823218
OpenAlex,power_validation,PV_0023_C1,PV_0023,Hallucinations in medical conditions,0,Life Sciences,Life,2019,300,0.5,0.5124566773443031,0.598687660112452,0.02119682452820573,0.4080852904962402
OpenAlex,power_validation,PV_0023_C2,PV_0023,Plant-derived Lignans Synthesis and Bioactivity,0,Life Sciences,Life,2019,300,0.5,0.5051274381877896,0.5166604965694114,0.0885673248468359,0.4025888149010092
OpenAlex,power_validation,PV_0024_P,PV_0024,Frailty in Older Adults,1,Health Sciences,Life,2019,300,0.5,0.49477701828395004,0.6379936706609838,0.19570894396058947,0.4571199082263808
OpenAlex,power_validation,PV_0024_C1,PV_0024,Thermoregulation and physiological responses,0,Health Sciences,Life,2019,300,0.5,0.5019582453783561,0.6224593312018545,0.14039974237863315,0.4412043297397109
OpenAlex,power_validation,PV_0024_C2,PV_0024,Trypanosoma species research and implications,0,Health Sciences,Life,2019,300,0.5,0.5065702594824977,0.5415704832167999,0.11238983111910235,0.4151326434546
OpenAlex,power_validation,PV_0025_P,PV_0025,Innovations in Education and Learning Technologies,1,Physical Sciences,Nature,2019,300,0.5,0.5063720315305311,0.45842951678320015,0.03325440034356457,0.374513987164324
OpenAlex,power_validation,PV_0025_C1,PV_0025,Embedded Systems and FPGA Applications,0,Physical Sciences,Nature,2019,300,0.5,0.5229062024071773,0.4584295167832001,0.023329099687423707,0.37616620471945034
OpenAlex,power_validation,PV_0025_C2,PV_0025,Electrophoretic Deposition in Materials Science,0,Physical Sciences,Nature,2019,300,0.5,0.4993051976434506,0.6066693561082115,0.07512485766158498,0.4202748528533118
OpenAlex,power_validation,PV_0026_P,PV_0026,Multicultural Education and Local Wisdom,1,Social Sciences,Cultures,2019,300,0.5,0.5023542823945889,0.46671596174886876,0.013599161576696522,0.3706673514300386
OpenAlex,power_validation,PV_0026_C1,PV_0026,Modern American Literature Studies,0,Social Sciences,Cultures,2019,300,0.5,0.4984694922097051,0.4667159617488687,0.010266305964442408,0.36886293998075403
OpenAlex,power_validation,PV_0026_C2,PV_0026,Educational Practices and Sociocultural Research,0,Social Sciences,Cultures,2019,300,0.5,0.5034792422411438,0.4916674381858807,0.005599941462067634,0.37518665547227303
OpenAlex,power_validation,PV_0027_P,PV_0027,Stochastic Gradient Optimization Techniques,1,Physical Sciences,Nature,2019,300,0.5,0.5081978976187955,0.668187772168166,0.07167687181856554,0.43701563540138183
OpenAlex,power_validation,PV_0027_C1,PV_0027,Web Application Security Vulnerabilities,0,Physical Sciences,Nature,2019,300,0.5,0.5086095807979704,0.5580701058739532,0.06052592713498814,0.40680140345172794
OpenAlex,power_validation,PV_0027_C2,PV_0027,Artificial Intelligence Applications,0,Physical Sciences,Nature,2019,300,0.5,0.5003802581185188,0.6302602229177513,0.009333062330430597,0.40999338584167516
OpenAlex,power_validation,PV_0028_P,PV_0028,Occupational Health and Safety Management,1,Health Sciences,Life,2019,300,0.5,0.517346158777614,0.6681877721681662,0.008733111306428013,0.42356676056305204
OpenAlex,power_validation,PV_0028_C1,PV_0028,Clostridium difficile and Clostridium perfringens research,0,Health Sciences,Life,2019,300,0.5,0.4793495083895629,0.6755363229894543,0.2624458065973725,0.47933290949409746
OpenAlex,power_validation,PV_0028_C2,PV_0028,Foot and Ankle Surgery,0,Health Sciences,Life,2019,300,0.5,0.5029262080146177,0.5906532827008858,0.07161054733999862,0.4162975095138755
OpenAlex,power_validation,PV_0029_P,PV_0029,"Race, Identity, and Education in Brazil",1,Social Sciences,Cultures,2019,300,0.5,0.5027856445447735,0.5,0.006399912620098299,0.3772963892912179
OpenAlex,power_validation,PV_0029_C1,PV_0029,China's Global Influence and Migration,0,Social Sciences,Cultures,2019,300,0.5,0.5061237966945598,0.4584295167832001,0.026860204253324308,0.372853379432771
